[18-Mar-2026 22:45:25 UTC] PHP Warning:  Undefined array key "host" in /workspaces/ux308isaacux-Assignment2/.wordpress/wp-includes/pluggable.php on line 1721
[19-Mar-2026 00:19:20 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 131072 bytes) in /workspaces/ux308isaacux-Assignment2/.wordpress/wp-content/languages/admin-en_CA.l10n.php on line 2
[19-Mar-2026 00:19:20 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/ux308isaacux-Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/register-product.php on line 95
[19-Mar-2026 00:19:20 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 131072 bytes) in /workspaces/ux308isaacux-Assignment2/.wordpress/wp-content/languages/admin-en_CA.l10n.php on line 2
[19-Mar-2026 00:19:21 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/ux308isaacux-Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/register-product.php on line 313
[19-Mar-2026 00:19:21 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 131072 bytes) in /workspaces/ux308isaacux-Assignment2/.wordpress/wp-content/languages/admin-en_CA.l10n.php on line 2
[19-Mar-2026 00:19:21 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/ux308isaacux-Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/product-categories.php on line 125
[19-Mar-2026 00:19:21 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/ux308isaacux-Assignment2/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
[19-Mar-2026 00:19:22 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/ux308isaacux-Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/product-categories.php on line 121
[19-Mar-2026 00:19:22 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/ux308isaacux-Assignment2/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
[19-Mar-2026 00:19:25 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/ux308isaacux-Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/register-product.php on line 95
[19-Mar-2026 00:19:25 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 131072 bytes) in /workspaces/ux308isaacux-Assignment2/.wordpress/wp-content/languages/admin-en_CA.l10n.php on line 2
[19-Mar-2026 00:19:26 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/ux308isaacux-Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/register-product.php on line 107
[19-Mar-2026 00:19:26 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 131072 bytes) in /workspaces/ux308isaacux-Assignment2/.wordpress/wp-content/languages/admin-en_CA.l10n.php on line 2
[19-Mar-2026 00:19:26 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/ux308isaacux-Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/register-product.php on line 107
[19-Mar-2026 00:19:26 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 131072 bytes) in /workspaces/ux308isaacux-Assignment2/.wordpress/wp-content/languages/admin-en_CA.l10n.php on line 2
[19-Mar-2026 00:19:26 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/ux308isaacux-Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/product-categories.php on line 125
[19-Mar-2026 00:19:27 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/ux308isaacux-Assignment2/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
[19-Mar-2026 00:19:28 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/ux308isaacux-Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/product-categories.php on line 121
[19-Mar-2026 00:19:28 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/ux308isaacux-Assignment2/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
[19-Mar-2026 00:19:37 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/ux308isaacux-Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/product-categories.php on line 121
[19-Mar-2026 00:19:37 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/ux308isaacux-Assignment2/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
